	annotator	title	base_ID	left_ID	right_ID	Form	Content	Emotion	Style	Overall	triple_ID	Runde
1303	FJ+MK+SW	Das Päckchen Gedichte 	l00170161	l0010154	l00130457	same	left	left	left	left	l0010154l00170161l00130457	FJ+MK+SW
1304	FJ+MK+SW	Die Kunst – 	l00130138	l00180069	l0040554	left	same	left	left	left	l00180069l00130138l0040554	FJ+MK+SW
1305	FJ+MK+SW	Gleichgültigkeit 	l00130210	l00140024	l00140150	same	right	right	same	same	l00140024l00130210l00140150	FJ+MK+SW
1306	FJ+MK+SW	Fremd in der Fremde – 	l0010082	l00130354	l0030174	left	same	same	left	left	l00130354l0010082l0030174	FJ+MK+SW
1307	FJ+MK+SW	Nachtlied 	l00200135	l0080305	l00200223	left	same	same	same	same	l0080305l00200135l00200223	FJ+MK+SW
1308	FJ+MK+SW	Geschieden 	l0010172	l00200026	l00130042	left	right	right	same	right	l00200026l0010172l00130042	FJ+MK+SW
1309	FJ+MK+SW	Zarathustras Lied 	l0030323	l00200176	l00140156	same	same	same	same	same	l00200176l0030323l00140156	FJ+MK+SW
1310	FJ+MK+SW	Trost der Nacht 	l00200088	l00130102	l0080046	same	left	left	left	left	l00130102l00200088l0080046	FJ+MK+SW
1311	FJ+MK+SW	Lied 	l00200278	l00100009	l0080132	right	right	right	right	right	l00100009l00200278l0080132	FJ+MK+SW
1312	FJ+MK+SW	Guter Rat 	l00130384	l0030323	l00160192	left	same	right	same	same	l0030323l00130384l00160192	FJ+MK+SW
1313	FJ+MK+SW	Du und ich 	l0040524	l0080448	l00110081	same	same	same	same	same	l0080448l0040524l00110081	FJ+MK+SW
1314	FJ+MK+SW	An die Mädchen 	l00130354	l0050031	l00160112	right	left	same	right	same	l0050031l00130354l00160112	FJ+MK+SW
1315	FJ+MK+SW	„Süß sind mir die Schollen des Tales.“ 	l0040336	l0010238	l00170058	left	right	right	same	right	l0010238l0040336l00170058	FJ+MK+SW
1316	FJ+MK+SW	Gleichgültigkeit 	l00130210	l00200254	l00140150	left	same	left	same	left	l00200254l00130210l00140150	FJ+MK+SW
1317	FJ+MK+SW	Wie ist das Leben bitter arm 	l0010218	l00130378	l0080311	right	right	right	right	right	l00130378l0010218l0080311	FJ+MK+SW
1318	FJ+MK+SW	Banger Abend 	l00170019	l0060062	l0080412	same	same	same	same	same	l0060062l00170019l0080412	FJ+MK+SW
1319	FJ+MK+SW	Die List der Trinker 	l0020029	l00160240	l0070146	left	same	right	same	same	l00160240l0020029l0070146	FJ+MK+SW
1320	FJ+MK+SW	Der Seligen Furcht 	l0010076	l0050031	l0010186	same	same	same	same	same	l0050031l0010076l0010186	FJ+MK+SW
1321	FJ+MK+SW	Lady Rosa 	l0030184	l00160212	l00130384	same	same	left	same	same	l00160212l0030184l00130384	FJ+MK+SW
1322	FJ+MK+SW	Dein Bild – 	l0030433	l0010238	l0020039	left	left	left	same	left	l0010238l0030433l0020039	FJ+MK+SW
1323	FJ+MK+SW	Gleichgültigkeit 	l00130210	l0090086	l00140150	same	right	right	right	right	l0090086l00130210l00140150	FJ+MK+SW
1324	FJ+MK+SW	An die Freunde 	l0020147	l00160172	l0030065	right	left	same	left	left	l00160172l0020147l0030065	FJ+MK+SW
1325	FJ+MK+SW	Deutsche Art 	l00130383	l00130059	l00200186	right	left	left	left	left	l00130059l00130383l00200186	FJ+MK+SW
1326	FJ+MK+SW	Morgenduft 	l0090086	l0080554	l0060046	same	same	right	right	right	l0080554l0090086l0060046	FJ+MK+SW
1327	FJ+MK+SW	Weltlauf 	l00160211	l00130451	l00190039	left	same	left	same	left	l00130451l00160211l00190039	FJ+MK+SW
1328	FJ+MK+SW	Porträt des Marquis de... 	l0040554	l00130138	l0080055	right	same	same	same	same	l00130138l0040554l0080055	FJ+MK+SW
1329	FJ+MK+SW	Deine Hände 	l0040304	l0080227	l00130361	right	same	right	right	right	l0080227l0040304l00130361	FJ+MK+SW
1330	FJ+MK+SW	Lied in der Nacht 	l0040053	l0060082	l00130449	same	left	same	same	same	l0060082l0040053l00130449	FJ+MK+SW
1331	FJ+MK+SW	Die frühe Stunde 	l0030183	l00140124	l00130451	right	right	same	left	right	l00140124l0030183l00130451	FJ+MK+SW
1332	FJ+MK+SW	Der Tod und das Mädchen 	l00100088	l0080026	l0050040	left	same	same	same	same	l0080026l00100088l0050040	FJ+MK+SW
1333	FJ+MK+SW	Das war der Tag der weißen Chrysanthemen – 	l0040509	l0060062	l0080369	right	right	right	same	right	l0060062l0040509l0080369	FJ+MK+SW
1334	FJ+MK+SW	Trost im Leiden 	l0020093	l0010132	l00180012	left	same	same	left	same	l0010132l0020093l00180012	FJ+MK+SW
1335	FJ+MK+SW	Wenn das weiße Mondenlicht... 	l00140083	l00130042	l0030323	left	left	same	same	left	l00130042l00140083l0030323	FJ+MK+SW
1336	FJ+MK+SW	Unerkannt 	l00140119	l00140141	l00130375	same	same	same	left	left	l00140141l00140119l00130375	FJ+MK+SW
1337	FJ+MK+SW	Staubige 	l0080497	l00200064	l00200002	left	same	same	same	same	l00200064l0080497l00200002	FJ+MK+SW
1338	FJ+MK+SW	Im Dämmer 	l0060068	l0030031	l0080448	left	left	left	right	left	l0030031l0060068l0080448	FJ+MK+SW
1339	FJ+MK+SW	Die Nicht-Gewesenen 	l0030243	l00180017	l00130329	same	same	left	left	left	l00180017l0030243l00130329	FJ+MK+SW
1340	FJ+MK+SW	Der Gast 	l00140122	l00160042	l00200195	right	same	right	same	right	l00160042l00140122l00200195	FJ+MK+SW
1341	FJ+MK+SW	Erste und letzte Liebe 	l0080055	l0010079	l00130444	same	left	left	same	left	l0010079l0080055l00130444	FJ+MK+SW
1342	FJ+MK+SW	Begegnen 	l0080361	l0080077	l0010300	right	same	same	same	same	l0080077l0080361l0010300	FJ+MK+SW
1343	FJ+MK+SW	Resignatio 	l00140105	l0030305	l00170225	right	same	same	same	same	l0030305l00140105l00170225	FJ+MK+SW
1344	FJ+MK+SW	Das schlafende Kind 	l0080026	l00180026	l00130111	left	left	left	same	left	l00180026l0080026l00130111	FJ+MK+SW
1345	FJ+MK+SW	Auf einem Stein 	l0030167	l0010173	l00160240	right	right	same	same	right	l0010173l0030167l00160240	FJ+MK+SW
1346	FJ+MK+SW	Ganz im Geheimen 	l0010125	l0080554	l0010038	left	left	left	right	left	l0080554l0010125l0010038	FJ+MK+SW
1347	FJ+MK+SW	Wer je gelebt in Liebesarmen 	l0080543	l0040304	l00180143	same	left	left	left	left	l0040304l0080543l00180143	FJ+MK+SW
1348	FJ+MK+SW	Wenn ein Leid dich schwer bedrängt 	l0080356	l0010261	l0080377	left	right	right	right	right	l0010261l0080356l0080377	FJ+MK+SW
1349	FJ+MK+SW	Ein Gebet 	l0080616	l0060046	l00130398	same	right	same	same	right	l0060046l0080616l00130398	FJ+MK+SW
1350	FJ+MK+SW	Geruch der Walderde 	l0090083	l00130449	l0080466	right	left	same	same	same	l00130449l0090083l0080466	FJ+MK+SW
1351	FJ+MK+SW	Die frühe Stunde 	l0030183	l0040217	l0080227	left	left	same	left	left	l0040217l0030183l0080227	FJ+MK+SW
1352	FJ+MK+SW	Auf der Höhe ist's einsam 	l00140124	l00130062	l00180069	right	right	same	same	right	l00130062l00140124l00180069	FJ+MK+SW
1353	FJ+MK+SW	Nur Geduld! 	l0010273	l00170195	l00180127	same	same	same	same	same	l00170195l0010273l00180127	FJ+MK+SW
1354	FJ+MK+SW	Am Bahndamm 	l0060057	l0060056	l00140066	same	left	same	same	same	l0060056l0060057l00140066	FJ+MK+SW
1355	FJ+MK+SW	Regenduft 	l0090084	l00130348	l0030431	right	right	same	same	right	l00130348l0090084l0030431	FJ+MK+SW
1356	FJ+MK+SW	Mir 	l0020034	l00130056	l0010018	right	same	right	same	right	l00130056l0020034l0010018	FJ+MK+SW
1357	FJ+MK+SW	Die Lawine 	l00130451	l00110081	l00100008	left	left	same	left	left	l00110081l00130451l00100008	FJ+MK+SW
1358	FJ+MK+SW	Habenichts 	l0010038	l0030227	l0090065	same	same	same	same	same	l0030227l0010038l0090065	FJ+MK+SW
1359	FJ+MK+SW	Das war der Tag der weißen Chrysanthemen – 	l0040509	l0010076	l0060019	right	same	left	same	same	l0010076l0040509l0060019	FJ+MK+SW
1360	FJ+MK+SW	Beschluß – 	l0060082	l00170003	l00140029	right	left	same	same	same	l00170003l0060082l00140029	FJ+MK+SW
1361	FJ+MK+SW	Guter Rat 	l00130384	l0010170	l00200340	left	same	same	same	same	l0010170l00130384l00200340	FJ+MK+SW
1362	FJ+MK+SW	Aus den Liedern der Trauer	l00160240	l0010261	l0080251	right	same	left	same	same	l0010261l00160240l0080251	FJ+MK+SW
1363	FJ+MK+SW	Der Liebesbrief 	l0080046	l0010079	l0080344	left	left	left	same	left	l0010079l0080046l0080344	FJ+MK+SW
1364	FJ+MK+SW	Im Entschlafen 	l00170125	l00180060	l0030305	right	right	right	left	right	l00180060l00170125l0030305	FJ+MK+SW
1365	FJ+MK+SW	Nachtlied 	l00200135	l00140198	l0010170	same	right	same	same	right	l00140198l00200135l0010170	FJ+MK+SW
1366	FJ+MK+SW	Im Frühling 	l00130042	l00160300	l0030167	right	right	right	right	right	l00160300l00130042l0030167	FJ+MK+SW
1367	FJ+MK+SW	Vorsicht 	l00130111	l00130138	l00160282	same	same	left	same	same	l00130138l00130111l00160282	FJ+MK+SW
1368	FJ+MK+SW	Doppelte Jugend 	l0080077	l00180012	l00160004	right	right	right	right	right	l00180012l0080077l00160004	FJ+MK+SW
1369	FJ+MK+SW	Mein Herz und deine Stimme 	l00200064	l0010056	l00160117	right	left	left	right	left	l0010056l00200064l00160117	FJ+MK+SW
1370	FJ+MK+SW	Fromme Bücher 	l00160212	l00190023	l0030184	same	same	right	same	right	l00190023l00160212l0030184	FJ+MK+SW
1371	FJ+MK+SW	Nur nimm sie wieder aus der Städte Schuld 	l00180136	l0050040	l0020047	right	right	right	right	right	l0050040l00180136l0020047	FJ+MK+SW
1372	FJ+MK+SW	Ich bat sie um die Rose 	l0080165	l0010208	l00140150	left	left	left	right	left	l0010208l0080165l00140150	FJ+MK+SW
1373	FJ+MK+SW	Die List der Trinker 	l0020029	l0080208	l00160240	right	left	left	same	left	l0080208l0020029l00160240	FJ+MK+SW
1374	FJ+MK+SW	Die Näherin 	l0010186	l00130451	l00130354	same	right	right	same	right	l00130451l0010186l00130354	FJ+MK+SW
1375	FJ+MK+SW	An die Lerche 	l00130257	l00130375	l00130182	right	right	right	right	right	l00130375l00130257l00130182	FJ+MK+SW
1376	FJ+MK+SW	Unter den Zweigen 	l0080251	l0020029	l00160113	left	left	left	left	left	l0020029l0080251l00160113	FJ+MK+SW
1377	FJ+MK+SW	Magdalene 	l0080578	l00200179	l00130182	same	left	left	same	left	l00200179l0080578l00130182	FJ+MK+SW
1378	FJ+MK+SW	Lady Rosa 	l0030184	l00140028	l00160212	left	left	same	left	left	l00140028l0030184l00160212	FJ+MK+SW
1379	FJ+MK+SW	Der Trompeter 	l0010208	l0080165	l00130378	left	left	left	same	left	l0080165l0010208l00130378	FJ+MK+SW
1380	FJ+MK+SW	Marksteine 	l00130329	l00180143	l0080361	right	same	left	same	same	l00180143l00130329l0080361	FJ+MK+SW
1381	FJ+MK+SW	Spaziergang	l00170030	l0080419	l0030080	right	left	left	left	left	l0080419l00170030l0030080	FJ+MK+SW
1382	FJ+MK+SW	Nachtbild	l0040579	l00100094	l00170065	left	same	right	left	left	l00100094l0040579l00170065	FJ+MK+SW
1383	FJ+MK+SW	Was schreibt die Woge in den Sand?	l00270241	l0090070	l00270469	same	same	same	right	right	l0090070l00270241l00270469	FJ+MK+SW
1384	FJ+MK+SW	Casabianca	l0040512	l00270401	l0080405	left	same	right	same	same	l00270401l0040512l0080405	FJ+MK+SW
1385	FJ+MK+SW	Spätsommer	l0010277	l0030018	l00100115	same	left	left	left	left	l0030018l0010277l00100115	FJ+MK+SW
1386	FJ+MK+SW	Mutterwort	l00270438	l0040333	l0040181	left	same	left	left	left	l0040333l00270438l0040181	FJ+MK+SW
1387	FJ+MK+SW	Trost	l0020036	l00150030	l00170187	left	same	same	same	same	l00150030l0020036l00170187	FJ+MK+SW
1388	FJ+MK+SW	In rote Fixsternwälder, die verbluten	l0040301	l0040516	l0030428	same	right	same	same	right	l0040516l0040301l0030428	FJ+MK+SW
1389	FJ+MK+SW	In diesem Dorfe steht das letzte Haus	l00180133	l0040227	l00270102	same	same	same	same	same	l0040227l00180133l00270102	FJ+MK+SW
1390	FJ+MK+SW	Schmetterlings Sterbelied	l0020084	l0030143	l0040118	left	same	same	right	same	l0030143l0020084l0040118	FJ+MK+SW
1391	FJ+MK+SW	Es wird die schlafende Lawine —	l00270798	l0030220	l00110076	left	same	same	left	left	l0030220l00270798l00110076	FJ+MK+SW
1392	FJ+MK+SW	Herbststimmung	l0040028	l0010299	l0030043	left	right	same	same	same	l0010299l0040028l0030043	FJ+MK+SW
